source,placed_as,page,target_path,note
Gallery 26.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 24.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 23.jpeg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 31.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 32.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 29.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 25.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 33.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 16.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Work car for about page and service area.png,about-work.jpg,about,assets/images/about/about-work.jpg,Resized to 1200x800px JPG q85
photo for service - cleaning - in our services.png,service-cleaning.jpg,services,assets/images/services/service-cleaning.jpg,Resized to 600x400px JPG q85
Gallery 27.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 15.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 18.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 30.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 21.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
our services - repair.jpg,service-repair.jpg,services,assets/images/services/service-repair.jpg,Resized to 600x400px JPG q85
Gallery 14.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 28.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 13.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 19.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 17.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 6.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 36.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 20.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 22.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
our services - Installations.jpg,service-installation.jpg,services,assets/images/services/service-installation.jpg,Resized to 600x400px JPG q85
Gallery 34.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 11.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 8.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
Gallery 7.jpg,work-01.jpg,gallery,assets/images/gallery/work-01.jpg,Resized to 800x600px JPG q85
